id ,title                  ,description                                                                                 ,category ,brand   ,color      ,material    ,price ,keywords
 1 ,iPhone 14 Pro          ,"Premium smartphone running iOS 16 with 48MP camera, OLED display, and A16 Bionic chip"     ,phone    ,Apple   ,gray       ,glass/metal , 1200 ,"iphone, ios, smartphone, apple, camera, oled"
 2 ,Samsung Galaxy S23     ,Android 13 flagship with powerful Snapdragon processor and bright AMOLED screen             ,phone    ,Samsung ,black      ,glass/metal , 1100 ,"samsung, android, galaxy, camera, flagship"
 3 ,Xiaomi Redmi Note 12   ,"Budget Android phone with MIUI 14, long battery life, and a crisp 6.67” display"           ,phone    ,Xiaomi  ,blue       ,plastic     ,  250 ,"xiaomi, android, miui, budget, display"
 4 ,Google Pixel 8         ,Android 14 smartphone with top-tier camera and pure Google Pixel UI                         ,phone    ,Google  ,green      ,glass/metal ,  900 ,"pixel, android, camera, google, ai"
 5 ,OnePlus 11             ,"Android 13 phone with fast performance, OxygenOS, and AMOLED screen"                       ,phone    ,OnePlus ,gray       ,glass/metal ,  800 ,"oneplus, android, oxygenos, fast, amoled"
 6 ,Apple Watch Series 9   ,Smartwatch running watchOS 10 with fitness tracking and seamless iOS integration            ,watch    ,Apple   ,black      ,aluminum    ,  500 ,"apple, watchos, ios, fitness, health"
 7 ,Samsung Galaxy Watch 6 ,"Stylish smartwatch with Android Wear OS, advanced sensors, and compatibility with Android" ,watch    ,Samsung ,silver     ,stainless   ,  450 ,"samsung, wearos, android, watch, health"
 8 ,Garmin Forerunner 265  ,"Sports watch with Garmin OS, VO2 max tracking, and GPS for runners"                        ,watch    ,Garmin  ,red        ,plastic     ,  400 ,"garmin, gps, garminos, fitness, running"
 9 ,Huawei Watch GT 4      ,"Long-lasting smartwatch using Huawei LiteOS, with wellness and sleep monitoring"           ,watch    ,Huawei  ,green      ,stainless   ,  300 ,"huawei, liteos, wellness, battery, tracker"
10 ,Fitbit Versa 4         ,"Lightweight watch with Fitbit OS, focused on sleep and activity tracking"                  ,watch    ,Fitbit  ,pink       ,plastic     ,  200 ,"fitbit, fitbitos, health, sleep, activity"
11 ,Red Summer Dress       ,"Lightweight red cotton dress ideal for hot summer days, breathable and casual"             ,dress    ,H&M     ,red        ,cotton      ,   50 ,"summer, cotton, red, light, casual"
12 ,Elegant Evening Gown   ,"Black silk dress perfect for formal events, with elegant cut and smooth texture"           ,dress    ,Zara    ,black      ,silk        ,  120 ,"evening, gown, formal, black, elegant"
13 ,Floral Midi Dress      ,"Viscose midi dress with colorful floral print and a soft, comfortable fabric"              ,dress    ,Mango   ,multicolor ,viscose     ,   80 ,"floral, midi, colorful, pattern, feminine"
14 ,White Linen Dress      ,"Minimalist dress made from white breathable linen, ideal for sunny weather"                ,dress    ,COS     ,white      ,linen       ,  100 ,"linen, white, minimalist, natural, airy"
15 ,Velvet Party Dress     ,"Short blue velvet dress designed for parties, stylish and modern fit"                      ,dress    ,Bershka ,blue       ,velvet      ,   90 ,"party, velvet, trendy, blue, short"
